"nid","Last.Name","First.Name","Middle.Name","Suffix","Birth.Year","Death.Year","app_1_circ","app_1_beg_yr","app_1_end_yr","app_2_circ","app_2_beg_yr","app_2_end_yr","app_3_circ","app_3_beg_yr","app_3_end_yr","app_4_circ","app_4_beg_yr","app_4_end_yr"
1379236,"Clevenger","Raymond","Charles","III","1937",,"FED","1990","","","","","","","","","",""
1391546,"Clifton","Richard","R."," ","1950",,"9","2002","","","","","","","","","",""
1379281,"Coffey","John","Louis"," ","1922",2012,"7","1982","2012","","","","","","","","",""
1379286,"Coffin","Frank","Morey"," ","1919",2009,"1","1965","2009","","","","","","","","",""
1379321,"Cole","Ransey","Guy","Jr.","1951",,"6","1995","","","","","","","","","",""
1379331,"Coleman","James","Plemon"," ","1914",1991,"5","1965","1984","","","","","","","","",""
1379341,"Collet","John","Caskie"," ","1898",1955,"","","","","","","8","1947","1955","","",""
6480596,"Collins","Daniel","Paul","","1963",,"9","2019","","","","","","","","","",""
1391956,"Colloton","Steven","M."," ","1963",,"8","2003","","","","","","","","","",""
1379371,"Colt","LeBaron","Bradford"," ","1846",1924,"","","","","","","1","1891","1913","","",""
1379376,"Combs","Bertram","Thomas"," ","1911",1991,"6","1967","1970","","","","","","","","",""
1379451,"Contie","Leroy","John","Jr.","1920",2001,"","","","6","1982","2001","","","","","",""
1391826,"Cook","Deborah","L."," ","1952",,"6","2003","","","","","","","","","",""
1393961,"Costa","Gregg","Jeffrey"," ","1972",,"","","","5","2014","","","","","","",""
1379531,"Cotteral","John","Hazelton"," ","1864",1933,"","","","8","1928","1929","10","1929","1933","","",""
1390351,"Cowen","Arnold","Wilson"," ","1905",2007,"","","","FED","1982","2007","","","","","",""
1379556,"Cowen","Robert","E."," ","1930",,"","","","3","1987","","","","","","",""
1379566,"Cox","Emmett","Ripley"," ","1935",2021,"","","","11","1988","2021","","","","","",""
1379591,"Coxe","Alfred","Conkling","Sr.","1847",1923,"","","","","","","2","1902","1917","","",""
1379621,"Craven","James","Braxton","Jr.","1918",1977,"","","","4","1966","1977","","","","","",""
1379656,"Cudahy","Richard","Dickson"," ","1926",2015,"7","1979","2015","","","","","","","","",""
1379666,"Cummings","Walter","Joseph"," ","1916",1999,"7","1966","1999","","","","","","","","",""
10376611,"Cunningham","Tiffany","Patrice","","1976",,"FED","2021","","","","","","","","","",""
1379716,"Cyr","Conrad","Keefe"," ","1931",2016,"","","","1","1989","2016","","","","","",""
1379721,"Dallas","George","Mifflin"," ","1839",1917,"","","","3","1892","1909","","","","","",""
1379741,"Danaher","John","Anthony"," ","1899",1990,"DC","1954","1990","","","","","","","","",""
1379771,"Daughtrey","Martha","Craig"," ","1942",,"6","1993","","","","","","","","","",""
1379806,"Davis","Andre","Maurice"," ","1949",,"","","","4","2009","2017","","","","","",""
1379846,"Davis","John","Warren"," ","1867",1945,"","","","3","1920","1941","","","","","",""
1390356,"Davis","Oscar","Hirsh"," ","1914",1988,"","","","FED","1982","1988","","","","","",""
1379861,"Davis","W.","Eugene"," ","1936",,"","","","5","1983","","","","","","",""
1379896,"Day","William","Rufus"," ","1849",1923,"","","","6","1899","1903","","","","","",""
1379961,"DeMoss","Harold","R.","Jr.","1930",2020,"5","1991","2015","","","","","","","","",""
1379966,"Denison","Arthur","Carter"," ","1861",1942,"","","","","","","6","1911","1931","","",""
1379971,"Denman","William"," "," ","1872",1959,"9","1935","1959","","","","","","","","",""
1379981,"Dennis","James","L."," ","1936",,"5","1995","","","","","","","","","",""
1393541,"Diaz","Albert"," "," ","1960",,"4","2010","","","","","","","","","",""
1380046,"Dietrich","Frank","Sigel"," ","1863",1930,"","","","9","1927","1930","","","","","",""
1380081,"Dobie","Armistead","Mason"," ","1881",1962,"","","","4","1940","1962","","","","","",""
1380086,"Dodge","Frederic"," "," ","1847",1927,"","","","1","1912","1918","","","","","",""
1380101,"Donahue","Maurice","H."," ","1864",1928,"6","1919","1928","","","","","","","","",""
1380106,"Donald","Bernice","Bouie"," ","1951",,"","","","6","2011","","","","","","",""
1380176,"Doyle","William","Edward"," ","1911",1986,"","","","10","1971","1986","","","","","",""
1390466,"Droney","Christopher","Fitzgerald"," ","1954",,"","","","2","2011","2020","","","","","",""
1380211,"Dubina","Joel","Fredrick"," ","1947",,"","","","11","1990","","","","","","",""
1380221,"Duell","Charles","Holland"," ","1850",1920,"DC","1905","1906","","","","","","","","",""
1380231,"Duffy","Francis","Ryan"," ","1888",1979,"","","","7","1949","1979","","","","","",""
1380251,"Duhe","John","Malcolm","Jr.","1933",,"","","","5","1988","","","","","","",""
1391911,"Duncan","Allyson","Kay"," ","1951",,"4","2003","2019","","","","","","","","",""
4517676,"Duncan","Stuart","Kyle","","1972",,"5","2018","","","","","","","","","",""
1380276,"Duniway","Benjamin","Cushing"," ","1907",1986,"9","1961","1986","","","","","","","","",""
1380326,"Dyer","David","William"," ","1910",1998,"","","","5","1966","1981","11","1981","1998","","",""
1391141,"Dyk","Timothy","B."," ","1937",,"FED","2000","","","","","","","","","",""
1380341,"Easterbrook","Frank","Hoover"," ","1948",,"7","1985","","","","","","","","","",""
1380351,"Ebel","David","M."," ","1940",,"10","1988","","","","","","","","","",""
1380391,"Edgerton","Henry","White"," ","1888",1970,"DC","1937","1970","","","","","","","","",""
1380396,"Edmondson","James","Larry"," ","1947",,"11","1986","","","","","","","","","",""
1380406,"Edwards","George","Clifton","Jr.","1914",1995,"6","1963","1995","","","","","","","","",""
1380411,"Edwards","Harry","Thomas"," ","1940",,"DC","1980","","","","","","","","","",""
3989726,"Eid","Allison","Hartwell","","1965",,"10","2017","","","","","","","","","",""
1392631,"Elrod","Jennifer","Walker"," ","1966",,"5","2007","","","","","","","","","",""
1380481,"Ely","Walter","Raleigh","Jr.","1913",1984,"9","1964","1984","","","","","","","","",""
1380491,"Engel","Albert","Joseph"," ","1924",2013,"","","","6","1973","2013","","","","","",""
1391351,"Engelhardt","Kurt","Damian"," ","1960",,"","","","5","2018","","","","","","",""
1391751,"Erickson","Ralph","R."," ","1959",,"","","","8","2017","","","","","","",""
1380526,"Ervin","Samuel","James","III","1926",1999,"4","1980","1999","","","","","","","","",""
1380536,"Eschbach","Jesse","Ernest"," ","1920",2005,"","","","7","1981","2005","","","","","",""
1380561,"Evans","Evan","Alfred"," ","1876",1948,"7","1916","1948","","","","","","","","",""
1380571,"Evans","Terence","Thomas"," ","1940",2011,"","","","7","1995","2011","","","","","",""
1380596,"Fagg","George","Gardner"," ","1934",2015,"8","1982","2015","","","","","","","","",""
1380601,"Fahy","Charles"," "," ","1892",1979,"DC","1950","1979","","","","","","","","",""
1380606,"Fairchild","Thomas","Edward"," ","1912",2007,"7","1966","2007","","","","","","","","",""
1380621,"Faris","Charles","Breckenridge"," ","1864",1938,"","","","8","1935","1938","","","","","",""
1380636,"Farris","Joseph","Jerome"," ","1930",2020,"9","1979","2020","","","","","","","","",""
1380646,"Fay","Peter","Thorp"," ","1929",2021,"","","","5","1976","1981","11","1981","2021","","",""
1380651,"Fee","James","Alger"," ","1888",1959,"","","","9","1954","1959","","","","","",""
1380661,"Feinberg","Wilfred"," "," ","1920",2014,"","","","2","1966","2014","","","","","",""
1380676,"Ferguson","Warren","John"," ","1920",2008,"","","","9","1979","2008","","","","","",""
1380686,"Fernandez","Ferdinand","Francis"," ","1937",,"","","","9","1989","","","","","","",""
1380696,"Field","John","A.","Jr.","1910",1995,"","","","4","1971","1995","","","","","",""
1380726,"Finnegan","Philip","J."," ","1886",1959,"7","1949","1959","","","","","","","","",""
1392071,"Fisher","D.","Michael"," ","1944",,"3","2003","","","","","","","","","",""
1391006,"Fisher","Raymond","C."," ","1939",2020,"9","1999","2020","","","","","","","","",""
